trade_date,displayed_theme_count,count_ge10,rank1_theme,rank1_limit_up_count,rank1_max_board_count,rank1_ladder_completeness,rank1_combined_score,rank2_theme,rank2_limit_up_count,rank2_max_board_count,rank2_ladder_completeness,rank2_combined_score,rank3_theme,rank3_limit_up_count,rank3_max_board_count,rank3_ladder_completeness,rank3_combined_score,rank4_theme,rank4_limit_up_count,rank4_max_board_count,rank4_ladder_completeness,rank4_combined_score,rank5_theme,rank5_limit_up_count,rank5_max_board_count,rank5_ladder_completeness,rank5_combined_score,prior_top1_fate,prior_top1_current_rank,current_top1_origin,top5_overlap_count,new_entry_count
2026-01-06,5,4,商业航天,15,6,1.0,0.8882352941,智能驾驶,11,3,1.0,0.8323529412,化工,15,2,1.0,0.8058823529,脑机接口,17,2,0.5,0.7852941176,锂电池,6,3,0.666667,0.6441176471,rank1_hold,1,prev_rank1,2,3
2026-01-07,5,2,商业航天,11,7,0.8,0.8923076923,芯片,14,2,1.0,0.8692307692,算力,6,2,1.0,0.7038461538,医药,5,3,1.0,0.7,机器人概念,6,14,0.2,0.6153846154,rank1_hold,1,prev_rank1,1,4
2026-01-08,5,1,商业航天,28,8,0.8,0.93,核电,9,2,1.0,0.82,脑机接口,8,4,0.75,0.73,芯片,6,2,1.0,0.62,人工智能,5,5,0.6,0.62,rank1_hold,1,prev_rank1,2,3
2026-01-09,5,2,人工智能,30,5,1.0,0.945,商业航天,20,9,0.8,0.87,机器人概念,6,11,0.4,0.615,算力,5,4,0.5,0.585,医药,4,1,1.0,0.51,remain_top5_lower,2,prev_rank2_to_5,2,3
2026-01-12,5,2,人工智能,73,6,1.0,0.9772727273,商业航天,43,10,0.8,0.8636363636,核电,6,4,0.75,0.7590909091,算力,5,2,1.0,0.6409090909,零售,5,2,1.0,0.6,rank1_hold,1,prev_rank1,3,2
2026-01-13,5,1,人工智能,31,6,0.8,0.9625,商业航天,7,11,0.6,0.7875,实控人变更,3,7,0.2,0.55625,智能电网,3,1,1.0,0.5,光伏,2,3,0.666667,0.4625,rank1_hold,1,prev_rank1,2,3
2026-01-14,5,2,人工智能,35,5,1.0,0.9363636364,商业航天,11,7,0.6,0.8,阿里巴巴概念,7,3,1.0,0.8,实控人变更,6,14,0.4,0.6454545455,黄金,4,3,0.666667,0.6181818182,rank1_hold,1,prev_rank1,3,2
2026-01-15,5,0,人工智能,8,4,0.75,0.8125,芯片,9,1,1.0,0.775,并购重组,4,2,1.0,0.6375,通信,5,1,1.0,0.54375,商业航天,3,3,0.666667,0.5,rank1_hold,1,prev_rank1,2,3
2026-01-16,5,3,芯片,21,2,1.0,0.9571428571,机器人概念,10,3,0.666667,0.7214285714,智能电网,10,5,0.4,0.6785714286,地产链,3,1,1.0,0.4785714286,光模块,2,2,1.0,0.45,exit_top5,,prev_rank2_to_5,1,4
2026-01-19,5,2,智能电网,22,4,0.75,0.9181818182,化工,5,1,1.0,0.7227272727,机器人概念,12,14,0.4,0.7090909091,年报增长,4,1,1.0,0.5681818182,实控人变更,3,2,1.0,0.5681818182,exit_top5,,prev_rank2_to_5,2,3
2026-01-20,5,1,化工,13,2,1.0,0.96875,智能电网,5,3,0.666667,0.78125,人工智能,5,1,1.0,0.65625,机器人概念,3,15,0.4,0.5,地产链,3,1,1.0,0.45625,remain_top5_lower,2,prev_rank2_to_5,3,2
2026-01-21,5,1,芯片,13,2,1.0,0.8818181818,黄金,7,3,1.0,0.7909090909,机器人概念,8,16,0.4,0.7090909091,通信,6,1,1.0,0.6272727273,实控人变更,4,3,0.666667,0.5363636364,exit_top5,,outside_prev_top5,1,4
2026-01-22,5,1,商业航天,15,3,1.0,0.9454545455,通信,6,2,1.0,0.7590909091,机器人概念,7,17,0.4,0.7409090909,芯片,5,2,1.0,0.5818181818,年报增长,3,3,1.0,0.5590909091,remain_top5_lower,4,outside_prev_top5,3,2
2026-01-23,5,2,光伏,34,2,1.0,0.905,商业航天,17,3,1.0,0.85,黄金,6,4,0.5,0.675,人工智能,5,2,1.0,0.63,锂电池,5,2,1.0,0.63,remain_top5_lower,2,outside_prev_top5,1,4
2026-01-26,5,1,黄金,15,5,1.0,0.9666666667,有色金属,7,2,1.0,0.8208333333,病毒防治,8,1,1.0,0.75,机器人概念,6,2,1.0,0.6958333333,光伏,4,2,1.0,0.6166666667,remain_top5_lower,5,prev_rank2_to_5,2,3
2026-01-27,5,1,光伏,8,3,1.0,0.88,黄金,6,6,0.8,0.85,芯片,11,1,1.0,0.78,机器人概念,4,2,1.0,0.665,人工智能,4,2,1.0,0.615,remain_top5_lower,2,prev_rank2_to_5,3,2
2026-01-28,5,2,黄金,29,7,1.0,0.9555555556,有色金属,18,3,1.0,0.8833333333,石油石化,5,4,0.75,0.6944444444,化工,6,1,1.0,0.5944444444,芯片,3,2,1.0,0.5111111111,exit_top5,,prev_rank2_to_5,2,3
2026-01-29,5,1,酿酒,20,1,1.0,0.8,石油石化,7,5,0.8,0.77,化工,8,2,1.0,0.72,黄金,7,8,0.4,0.61,人工智能,6,5,0.6,0.57,remain_top5_lower,4,outside_prev_top5,3,2
2026-01-30,5,1,通信,10,1,1.0,0.8785714286,化工,5,3,1.0,0.7357142857,农业,5,2,1.0,0.6642857143,算力,5,1,1.0,0.5642857143,人工智能,5,6,0.2,0.5571428571,exit_top5,,outside_prev_top5,2,3
2026-02-02,5,1,智能电网,12,2,1.0,0.925,人工智能,4,2,1.0,0.8083333333,体育产业,3,2,1.0,0.5916666667,酿酒,2,3,0.666667,0.4916666667,通信,2,2,0.5,0.3416666667,remain_top5_lower,5,outside_prev_top5,2,3
2026-02-03,5,2,商业航天,14,2,1.0,0.8777777778,通信,5,3,1.0,0.7222222222,光伏,11,1,1.0,0.7166666667,化工,4,4,0.75,0.6611111111,智能电网,4,2,1.0,0.5777777778,remain_top5_lower,5,outside_prev_top5,2,3
2026-02-04,5,2,光伏,13,2,1.0,0.8944444444,煤炭,13,1,1.0,0.7388888889,地产链,7,4,0.75,0.7055555556,并购重组,3,3,1.0,0.5444444444,智能电网,4,3,0.666667,0.5,exit_top5,,prev_rank2_to_5,2,3
2026-02-05,5,0,人工智能,5,2,1.0,0.7928571429,零售,3,3,1.0,0.7071428571,并购重组,3,4,0.75,0.7,文化传媒,3,5,0.4,0.6,酿酒,3,1,1.0,0.4571428571,exit_top5,,outside_prev_top5,1,4
2026-02-06,5,0,锂电池,8,2,1.0,0.9,并购重组,4,4,1.0,0.825,通信,4,5,0.6,0.725,化工,5,5,0.4,0.6625,光伏,4,3,0.666667,0.6166666667,exit_top5,,outside_prev_top5,1,4
2026-02-09,5,2,光伏,14,4,0.75,0.8409090909,AI应用,20,6,0.4,0.8181818182,化工,9,6,0.4,0.7181818182,并购重组,5,5,0.8,0.7,商业航天,7,1,1.0,0.6409090909,exit_top5,,prev_rank2_to_5,3,2
2026-02-10,5,2,AI应用,17,2,1.0,0.8666666667,文化传媒,15,7,0.4,0.7444444444,算力,5,2,1.0,0.6944444444,实控人变更,3,3,1.0,0.6555555556,化工,3,7,0.2,0.5277777778,exit_top5,,prev_rank2_to_5,2,3
2026-02-11,5,1,化工,16,8,0.8,0.8833333333,算力,6,4,1.0,0.7833333333,有色金属,9,2,1.0,0.7166666667,AI应用,3,3,0.333333,0.45,文化传媒,2,3,0.666667,0.3333333333,remain_top5_lower,4,prev_rank2_to_5,4,1
2026-02-12,5,1,算力,13,4,0.75,0.84375,有色金属,6,3,1.0,0.8,智能电网,6,2,1.0,0.63125,通信,5,3,1.0,0.63125,化工,5,2,1.0,0.625,remain_top5_lower,5,prev_rank2_to_5,3,2
2026-02-13,5,0,AI应用,5,5,0.6,0.8857142857,算力,3,3,0.666667,0.6928571429,芯片,3,2,1.0,0.6928571429,农业,2,3,0.666667,0.4357142857,通信,2,3,0.666667,0.4357142857,remain_top5_lower,2,outside_prev_top5,2,3
2026-02-24,5,2,化工,23,3,1.0,0.9181818182,石油石化,14,1,1.0,0.75,智能电网,6,3,0.666667,0.6909090909,通信,8,1,1.0,0.6318181818,航运,3,2,1.0,0.5590909091,exit_top5,,outside_prev_top5,1,4
2026-02-25,5,1,化工,19,3,1.0,0.9125,有色金属,9,4,0.75,0.80625,AI应用,7,3,1.0,0.78125,芯片,5,2,1.0,0.55,通信,4,3,0.666667,0.4,rank1_hold,1,prev_rank1,2,3
