ts_code,name,is_initial_leader1,is_realized_episode_leader,themes,episode_ids,list_date,first_return_date,last_return_date,observed_return_days,compounded_ytd_return,partial_year,list_date_missing,compounded_ytd_return_pct
002084.SZ,海鸥住工,1,1,实控人变更,EP000764,2006-11-24,2026-01-05,2026-08-31,155,0.6443242928,0,0,64.43242928
002086.SZ,东方海洋,1,1,海洋经济,EP000352,2006-11-28,2026-01-05,2026-08-31,160,-0.0779247664,0,0,-7.79247664
002112.SZ,三变科技,1,1,智能电网,EP000200;EP000279,2007-02-08,2026-01-05,2026-08-31,160,0.1492246965,0,0,14.92246965
002119.SZ,康强电子,1,1,芯片,EP000222;EP000248,2007-03-02,2026-01-05,2026-08-31,160,0.4519026744,0,0,45.19026744
002124.SZ,天邦食品,1,1,农业;猪肉,EP000434;EP000496,2007-04-03,2026-01-05,2026-08-31,160,-0.1532873147,0,0,-15.32873147
002126.SZ,银轮股份,0,1,液冷,EP000272,2007-04-18,2026-01-05,2026-08-31,160,0.1099100216,0,0,10.99100216
002130.SZ,沃尔核材,0,1,通信,EP000223,2007-04-20,2026-01-05,2026-08-31,160,-0.3434745780,0,0,-34.3474578
002134.SZ,天津普林,0,1,大飞机,EP000167,2007-05-16,2026-01-05,2026-08-31,160,-0.1392289125,0,0,-13.92289125
002141.SZ,贤丰控股,1,1,通信,EP000638,2007-07-20,2026-01-05,2026-08-31,160,0.9034931459,0,0,90.34931459
002150.SZ,通润装备,1,1,储能,EP000002;EP000362,2007-08-10,2026-01-05,2026-08-31,160,0.1032747535,0,0,10.32747535
002155.SZ,湖南黄金,1,1,黄金,EP000268;EP000321;EP000424,2007-08-16,2026-01-05,2026-08-31,145,0.3082125812,0,0,30.82125812
002163.SZ,海南发展,1,1,海南,EP000132;EP000159;EP000178,2007-08-23,2026-01-05,2026-08-31,160,-0.6413589742,0,0,-64.13589742
002165.SZ,红宝丽,0,1,化工,EP000228,2007-09-13,2026-01-05,2026-08-31,160,0.1406519442,0,0,14.06519442
002167.SZ,东方锆业,1,0,非金属材料,EP000676,2007-09-13,2026-01-05,2026-08-31,160,0.3781432958,0,0,37.81432958
002169.SZ,智光电气,1,0,芯片,EP000162,2007-09-19,2026-01-05,2026-08-31,160,0.1651372072,0,0,16.51372072
002173.SZ,创新医疗,1,1,脑机接口,EP000694,2007-09-25,2026-01-05,2026-08-31,160,-0.1390040454,0,0,-13.90040454
002177.SZ,御银股份,0,1,金融概念,EP000199,2007-11-01,2026-01-05,2026-08-31,160,-0.3687517113,0,0,-36.87517113
002181.SZ,粤传媒,1,1,AI应用;体育产业;文化传媒,EP000008;EP000016;EP000408;EP000414;EP000474;EP000498,2007-11-16,2026-01-05,2026-08-31,160,0.0166216016,0,0,1.66216016
002188.SZ,中天服务,1,1,地产链,EP000154,2007-11-22,2026-01-05,2026-08-31,160,-0.0657897838,0,0,-6.57897838
002192.SZ,融捷股份,1,1,锂电池,EP000376;EP000380,2007-12-05,2026-01-05,2026-08-31,160,0.4330594096,0,0,43.30594096
002195.SZ,岩山科技,1,1,脑机接口,EP000190;EP000214,2007-12-12,2026-01-05,2026-08-31,160,-0.0888605086,0,0,-8.88605086
002196.SZ,方正电机,1,1,三季报增长;机器人概念,EP000001;EP000048,2007-12-12,2026-01-05,2026-08-31,160,-0.3263951833,0,0,-32.63951833
002197.SZ,证通电子,0,1,金融概念,EP000675,2007-12-18,2026-01-05,2026-08-31,160,-0.3102763218,0,0,-31.02763218
002201.SZ,九鼎新材,0,1,化工,EP000163,2007-12-26,2026-01-05,2026-08-31,160,-0.2658768346,0,0,-26.58768346
002208.SZ,合肥城建,1,0,芯片,EP000185,2008-01-28,2026-01-05,2026-08-31,160,-0.1219705130,0,0,-12.1970513
