primary_theme,is_headline,lifecycle_class,episode_count,strict_recurrence,gap_recurrence,recurrent_union,active_days,displayed_days,first_active_date,last_active_date,total_episode_active_days,median_episode_active_days,max_episode_active_days,total_limit_up_count,peak_limit_up_count,peak_max_board_count,best_rank_combined,distinct_realized_leader_count,realized_leaders,after_fade_comparisons,after_fade_switches,after_fade_switch_rate
固态电池,1,single_wave_one_day,1,0,0,0,1,1,2025-11-05,2025-11-05,1,1,1,4,4,1,5,1,002805.SZ:丰元股份,0,0,
国有企业,1,recurrent_union,3,1,0,1,3,1,2026-01-08,2026-04-15,3,1,1,7,3,4,5,3,600135.SH:乐凯胶片;600743.SH:华远控股;000026.SZ:飞亚达,2,2,1.0
地产链,1,recurrent_union,30,1,1,1,53,20,2025-11-11,2026-08-31,53,1.0,5,200,10,7,1,24,000632.SZ:三木集团;600340.SH:华夏幸福;603216.SH:梦天家居;603709.SH:中源家居;002188.SZ:中天服务;002774.SZ:快意电梯;605318.SH:法狮龙;000031.SZ:大悦城;002830.SZ:名雕股份;605268.SH:王力安防;600683.SH:京投发展;000020.SZ:深华发Ａ;600510.SH:黑牡丹;600539.SH:狮头股份;600743.SH:华远控股;000402.SZ:金融街;600162.SH:香江控股;000608.SZ:阳光股份;300931.SZ:通用电梯;600724.SH:宁波富达;000668.SZ:荣丰控股;601886.SH:江河集团;603801.SH:志邦家居;000560.SZ:我爱我家,29,26,0.8965517241
基础建设,1,recurrent_union,12,1,0,1,15,3,2025-11-24,2026-08-25,15,1.0,3,51,5,3,2,11,603280.SH:南方路机;600939.SH:重庆建工;300599.SZ:雄塑科技;000927.SZ:中国铁物;600502.SH:安徽建工;002051.SZ:中工国际;000151.SZ:中成股份;603338.SH:浙江鼎力;003001.SZ:中岩大地;600326.SH:西藏天路;000779.SZ:甘咨询,11,10,0.9090909091
大飞机,0,single_wave_one_day,1,0,0,0,1,0,2025-12-24,2025-12-24,1,1,1,3,3,1,8,1,002134.SZ:天津普林,0,0,
天然气,1,recurrent_union,7,1,1,1,8,4,2025-11-12,2026-04-13,8,1,2,49,24,4,2,5,000407.SZ:胜利股份;600759.SH:洲际油气;603318.SH:水发燃气;300332.SZ:天壕能源;001299.SZ:美能能源,6,4,0.6666666667
存储,1,recurrent_union,2,1,0,1,2,1,2025-12-01,2026-03-18,2,1.0,1,7,5,3,3,2,603933.SH:睿能科技;300042.SZ:朗科科技,1,1,1.0
实控人变更,1,recurrent_union,19,1,1,1,50,12,2025-11-04,2026-08-27,50,2,8,138,6,14,2,15,000593.SZ:德龙汇能;300959.SZ:线上线下;003041.SZ:真爱美家;603155.SH:新亚强;002348.SZ:高乐股份;002235.SZ:安妮股份;001331.SZ:胜通能源;002969.SZ:嘉美包装;603078.SH:江化微;603980.SH:吉华集团;300736.SZ:百邦科技;603779.SH:威龙股份;603580.SH:艾艾精工;300615.SZ:欣天科技;002084.SZ:海鸥住工,18,16,0.8888888889
家电,0,recurrent_union,3,1,0,1,3,0,2025-11-14,2026-06-30,3,1,1,8,4,2,6,3,002242.SZ:九阳股份;300894.SZ:火星人;001237.SZ:惠康科技,2,2,1.0
工业互联网,0,single_wave_one_day,1,0,0,0,1,0,2026-01-14,2026-01-14,1,1,1,3,3,1,6,1,688080.SH:映翰通,0,0,
年报增长,1,recurrent_union,5,1,0,1,11,3,2026-01-19,2026-04-20,11,2,4,38,4,4,4,5,002636.SZ:金安国纪;601388.SH:怡球资源;002560.SZ:通达股份;603889.SH:新澳股份;603057.SH:紫燕食品,4,4,1.0
并购重组,1,recurrent_union,27,1,1,1,71,23,2025-11-04,2026-08-25,71,2,7,223,7,12,1,21,000620.SZ:盈新发展;000407.SZ:胜利股份;688622.SH:禾信仪器;603353.SH:和顺石油;600337.SH:美克家居;600676.SH:交运股份;603616.SH:韩建河山;002980.SZ:华盛昌;002445.SZ:中南文化;603687.SH:大胜达;600539.SH:狮头股份;600743.SH:华远控股;300067.SZ:安诺其;600683.SH:京投发展;300069.SZ:金利华电;300197.SZ:节能铁汉;605198.SH:安德利;603137.SH:恒尚节能;003001.SZ:中岩大地;603221.SH:爱丽家居;603958.SH:哈森股份,26,20,0.7692307692
房地产,0,single_wave_one_day,1,0,0,0,1,0,2026-06-02,2026-06-02,1,1,1,2,2,6,9,1,600162.SH:香江控股,0,0,
摩尔线程概念,1,single_wave_one_day,1,0,0,0,1,1,2025-12-04,2025-12-04,1,1,1,5,5,1,3,1,300250.SZ:初灵信息,0,0,
操作系统,0,single_wave_one_day,1,0,0,0,1,0,2026-08-18,2026-08-18,1,1,1,4,4,1,7,1,300598.SZ:诚迈科技,0,0,
数字货币,0,single_wave_one_day,1,0,0,0,1,0,2026-08-06,2026-08-06,1,1,1,3,3,1,9,1,603123.SH:翠微股份,0,0,
文创产品,1,single_wave_multiday,1,0,0,0,2,1,2025-12-18,2025-12-19,2,2,2,11,8,2,1,1,000863.SZ:三湘印象,0,0,
